"Plate name 96",96," 384 plate","Row 384","Column 384","1536 plate","1536 row","1536 column",Comment,MutantID,"PA14 Genomic Position","PA14 Genome BLASTN Bit Score","Unambiguous Insertion Location?","""Active"" Gene Locus","""Active"" GeneID","Tn insertion position within ""Active"" Gene (bp)","""Active"" Gene Length (bp)","PAO1 ortholog of ""Active"" gene","""Active"" Gene Name","""Active"" Gene Description","All predicted Gene Locus Names (Intragenic Position/Gene Length), ('*' indicates ""Active"" gene)","All Predicted GeneIDs","PAO1 Orthologs","PA14 NR Set Comments",,,,,
ExMr_nr_mas_01_1,C6,16,5,11,4,10,22,,22424,3912229,287,Y,PA14_43950,GID1618,1100,1167,PA1588,sucC,"succinyl-CoA synthetase subunit beta","""""""PA14_43950(1100/1167)""","""PA14_43960*(41/1164)""""""","""""""GID1618""","""GID5739""""""",PA1588,,,,"COG0151|Phosphoribosylamine-glycine ligase [Nucleotide transport and metabolism]"
ExMr_nr_mas_01_1,C7,16,5,13,4,10,26,,22446,4182660,938,Y,PA14_46960,GID587,1406,1674,PA1338,ggt,gamma-glutamyltranspeptidase,"""""""PA14_46960(1406/1674)""","""PA14_46940*(356/2601)""""""","""""""GID587""","""GID5675""""""",PA1338,,,,"COG0405|Gamma-glutamyltransferase [Amino acid transport and metabolism]"
ExMr_nr_mas_01_1,C8,16,5,15,4,10,30,,22453,2589936,940,Y,PA14_29920,GID3955,528,549,PA2644,nuoI,"NADH dehydrogenase subunit I","""""""PA14_29920(528/549)""","""PA14_29910*(114/186)""""""","""""""GID3955""","""GID6120""""""",PA2644,,,,"COG2221|Dissimilatory sulfite reductase (desulfoviridin), alpha and beta subunits [Energy production and conversion]"
ExMr_nr_mas_01_1,C9,16,5,17,4,10,34,,22523,5242015,1273,Y,PA14_58850,GID4515,444,450,PA4536,,"hypothetical protein",PA14_58850(444/450),GID4515,PA4536,,,,,,"COG2258|Uncharacterized protein conserved in bacteria [Function unknown]"
ExMr_nr_mas_01_1,C10,16,5,19,4,10,38,,22525,601432,805,Y,PA14_06950,GID814,15,1491,PA0533,,"LuxR family transcriptional regulator","""LuxR family""""""",PA14_06950(15/1491),GID814,PA0533,,,,,"COG2197|Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain [Signal transduction mechanisms / Transcription]"
ExMr_nr_mas_01_1,C11,16,5,21,4,10,42,,22531,4657968,622,Y,PA14_52510,GID4870,214,375,PA0908,,"hypothetical protein",PA14_52510(214/375),GID4870,PA0908,,,,,,
ExMr_nr_mas_01_1,C12,16,5,23,4,10,46,,22535,5817715,466,Y,PA14_65280,GID1478,664,1203,PA4942,hflK,"protease subunit HflK","""""""PA14_65280(664/1203)""","""PA14_65290*(513/1764)""""""","""""""GID1478""","""GID6802""""""",PA4942,,,,"COG0330|Membrane protease subunits, stomatin/prohibitin homologs [Posttranslational modification, protein turnover, chaperones]"
ExMr_nr_mas_01_1,D1,16,7,1,4,14,2,,22599,6387373,281,Y,PA14_71700,GID3454,91,675,PA5433,,"GNAT family acetyltransferase","""GNAT family""""""",PA14_71700(91/675),GID3454,PA5433,,,,,"COG1670|Acetyltransferases, including N-acetylases of ribosomal proteins [Translation, ribosomal structure and biogenesis]"
ExMr_nr_mas_01_1,D2,16,7,3,4,14,6,,22613,4733530,636,Y,PA14_53380,GID1346,455,1221,PA0842,,"glycosyl transferase family protein",PA14_53380(455/1221),GID1346,PA0842,,,,,,"COG0438|Glycosyltransferase [Cell envelope biogenesis, outer membrane]"
ExMr_nr_mas_01_1,D3,16,7,5,4,14,10,,22627,2344885,299,Y,PA14_26960,GID3027,38,798,PA2871,,"hypothetical protein","""""""PA14_26960(38/798)""","""PA14_26950*(1397/1470)""""""","""""""GID3027""","""GID6190""""""",PA2871,,,,"COG1946|Acyl-CoA thioesterase [Lipid metabolism]"
ExMr_nr_mas_01_1,D4,16,7,7,4,14,14,,22630,2204599,222,Y,PA14_25220,GID3675,414,630,PA3003,,"hypothetical protein",PA14_25220(414/630),GID3675,PA3003,,,,,,
ExMr_nr_mas_01_1,D5,16,7,9,4,14,18,,22665,4214283,595,Y,PA14_47300,GID1730,25,1116,PA1310,phnW,"2-aminoethylphosphonate--pyruvate transaminase",PA14_47300(25/1116),GID1730,PA1310,,,,,,"COG1104|Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes [Amino acid transport and metabolism]"
ExMr_nr_mas_01_1,D6,16,7,11,4,14,22,,22683,1030882,454,Y,PA14_11900,GID505,242,1740,PA4016,,"hypothetical protein",PA14_11900(242/1740),GID505,PA4016,,,,,,"COG4642|Uncharacterized protein conserved in bacteria [Function unknown]"
ExMr_nr_mas_01_1,D7,16,7,13,4,14,26,,22690,3910845,1378,Y,PA14_43920,GID1330,120,1314,PA1590,braB,"branched chain amino acid transporter",PA14_43920(120/1314),GID1330,PA1590,,,,,,"COG1114|Branched-chain amino acid permeases [Amino acid transport and metabolism]"
ExMr_nr_mas_01_1,D8,16,7,15,4,14,30,,22699,6379593,454,Y,PA14_71620,GID4383,94,492,PA5426,purE,"phosphoribosylaminoimidazole carboxylase catalytic subunit","""catalytic subunit""""""","""""""PA14_71620(94/492)""","""PA14_71610*(558/996)""""""","""""""GID4383""","""GID6950""""""",PA5426,,,"COG1691|NCAIR mutase (PurE)-related proteins [General function prediction only]"
ExMr_nr_mas_01_1,D9,16,7,17,4,14,34,,22727,2830054,940,Y,PA14_32590,GID523,261,1770,PA2478,,"thiol:disulfide interchange protein",PA14_32590(261/1770),GID523,PA2478,,,,,,"COG4232|Thiol:disulfide interchange protein [Posttranslational modification, protein turnover, chaperones / Energy production and conversion]"
ExMr_nr_mas_01_1,D10,16,7,19,4,14,38,,22746,4089681,58,Y,PA14_45980,GID4553,134,432,PA1428,,acetyltransferase,PA14_45980(134/432),GID4553,PA1428,,,,,,
ExMr_nr_mas_01_1,D11,16,7,21,4,14,42,,22824,4853442,1259,Y,PA14_54750,GID5523,109,168,,,"hypothetical protein",PA14_54750(109/168),GID5523,,,,,,,
ExMr_nr_mas_01_1,D12,16,7,23,4,14,46,,22930,3722675,1142,Y,PA14_41710,GID791,214,1527,PA1767,,"hypothetical protein","""""""PA14_41710(214/1527)""","""PA14_41700*(1164/1593)""""""","""""""GID791""","""GID5782""""""",PA1767,,,,
ExMr_nr_mas_01_1,E1,16,9,1,4,18,2,,22943,336584,272,Y,PA14_03760,GID1151,258,1386,PA0287,,"sodium:solute symporter","""""""PA14_03760(258/1386)""",PA14_03740*(466/1767),"""PA14_03750*(1186/1476)""""""","""""""GID1151""",GID7088,"""GID7089""""""",PA0287,,"COG0591|Na+/proline symporter [Amino acid transport and metabolism / General function prediction only]"
ExMr_nr_mas_01_1,E2,16,9,3,4,18,6,,23026,1314923,963,Y,PA14_15540,GID6443,558,1623,,,"mating pair formation protein TrbL","""""""PA14_15540(558/1623)""","""PA14_15550*(460/474)""""""","""""""GID6443""","""GID6442""""""",,,,,"COG3846|Type IV secretory pathway, TrbL components [Intracellular trafficking and secretion]"
ExMr_nr_mas_01_1,E3,16,9,5,4,18,10,,23029,5815748,323,Y,PA14_65250,GID1548,244,1185,PA4939,hisZ,"ATP phosphoribosyltransferase",PA14_65250(244/1185),GID1548,PA4939,"Unknown source. Mutant was picked from well eUsU_MrT7_240:H1 but resequencing of the transposon junction of a purified colony showed an unknown mutant interrupting GID96. This mutant should not be used as a GID1548 mutant.",,,,,"COG0124|Histidyl-tRNA synthetase [Translation, ribosomal structure and biogenesis]"
ExMr_nr_mas_01_1,E4,16,9,7,4,18,14,,4609,6059555,416,Y,PA14_67850,GID3185,218,753,PA5138,,"ABC-type amino acid transport protein, periplasmic component","""periplasmic component""""""",PA14_67850(218/753),GID3185,PA5138,,,,,"COG0834|ABC-type amino acid transport/signal transduction systems, periplasmic component/domain [Amino acid transport and metabolism / Signal transduction mechanisms]"
ExMr_nr_mas_01_1,E5,16,9,9,4,18,18,,4649,3380122,995,Y,PA14_37880,GID450,260,1809,PA2058,,"ABC transporter substrate-binding protein",PA14_37880(260/1809),GID450,PA2058,,,,,,"COG0747|ABC-type dipeptide transport system, periplasmic component [Amino acid transport and metabolism]"
ExMr_nr_mas_01_1,E6,16,9,11,4,18,22,,4673,2110238,236,Y,PA14_24290,GID334,1882,1965,PA3082,gbt,"glycine betaine transmethylase","""""""PA14_24290(1882/1965)""","""PA14_24280*(144/2502)""""""","""""""GID334""","""GID6251""""""",PA3082,,,,
ExMr_nr_mas_01_1,E7,16,9,13,4,18,26,,4684,3863930,924,Y,PA14_43380,GID362,1819,2073,PA1634,kdpB,"potassium-transporting ATPase subunit B","""B chain""""""","""""""PA14_43380(1819/2073)""","""PA14_43390*(150/2178)""""""","""""""GID362""","""GID5751""""""",PA1634,,,"COG0474|Cation transport ATPase [Inorganic ion transport and metabolism]"
ExMr_nr_mas_01_1,E8,16,9,15,4,18,30,,4702,4699269,977,Y,PA14_53000,GID4861,180,357,PA0871,phhB,"pterin-4-alpha-carbinolamine dehydratase",PA14_53000(180/357),GID4861,PA0871,,,,,,"COG2154|Pterin-4a-carbinolamine dehydratase [Coenzyme metabolism]"
ExMr_nr_mas_01_1,E9,16,9,17,4,18,34,,4704,1026667,319,Y,EMPTY,,,,,,,"""""""PA14_11840*(281/1374)""","""PA14_11850*(262/1062)""""""","""""""GID6551""","""GID6550""""""",,,,,
ExMr_nr_mas_01_1,E10,16,9,19,4,18,38,,4787,2301240,248,Y,PA14_26400,GID3060,62,774,PA2912,,"ABC transporter ATP-binding protein",PA14_26400(62/774),GID3060,PA2912,,,,,,"COG4136|ABC-type uncharacterized transport system, ATPase component [General function prediction only]"
ExMr_nr_mas_01_1,E11,16,9,21,4,18,42,,4804,2133357,898,Y,EMPTY,,,,,,,"""""""PA14_24450*(3314/3528)""",PA14_24460*(733/2283),"""PA14_24470*(1574/2220)""""""","""""""GID6248""",GID6247,"""GID6246""""""",,,
ExMr_nr_mas_01_1,E12,16,9,23,4,18,46,,4811,3636134,200,Y,PA14_40730,GID1977,7,1041,PA1839,,"ribosomal RNA large subunit methyltransferase N","""""""PA14_40730(7/1041)""","""PA14_40720*(1245/1479)""""""","""""""GID1977""","""GID5808""""""",PA1839,,,,"COG0820|Predicted Fe-S-cluster redox enzyme [General function prediction only]"
ExMr_nr_mas_01_1,F1,16,11,1,4,22,2,,4840,3618139,272,Y,PA14_40510,GID796,43,1443,PA1856,ccoN-2,"cbb3-type cytochrome c oxidase subunit I",cbb3-type,"""subunit""""""","""""""PA14_40510(43/1443)""","""PA14_40500*(1263/1545)""""""","""""""GID796""","""GID5813""""""",PA1856,"Unknown source. This mutant was picked from well exU3_MrT7_51wor:B5 but resequencing of the transposon junction of a purified colony showed that it was identical to mutant 38814.","COG0843|Heme/copper-type cytochrome/quinol oxidases, subunit 1 [Energy production and conversion]"
ExMr_nr_mas_01_1,F2,16,11,3,4,22,6,,4849,1409198,611,Y,PA14_16460,GID3479,148,690,PA3705,wspD,"CheW domain-containing protein",PA14_16460(148/690),GID3479,PA3705,,,,,,"COG0835|Chemotaxis signal transduction protein [Cell motility and secretion / Signal transduction mechanisms]"
ExMr_nr_mas_01_1,F3,16,11,5,4,22,10,,4850,396888,371,Y,PA14_04430,GID3147,77,756,PA0339,,"hypothetical protein",PA14_04430(77/756),GID3147,PA0339,,,,,,"COG3332|Uncharacterized conserved protein [Function unknown]"
ExMr_nr_mas_01_1,F4,16,11,7,4,22,14,,4857,262889,69.9,Y,PA14_02990,GID1060,142,1326,PA0241,,"MFS transporter",PA14_02990(142/1326),GID1060,PA0241,,,,,,"COG2271|Sugar phosphate permease [Carbohydrate transport and metabolism]"
ExMr_nr_mas_01_1,F5,16,11,9,4,22,18,,4887,6241220,172,Y,PA14_69950,GID457,1175,1860,PA5299,,"hypothetical protein","""""""PA14_69950(1175/1860)""","""PA14_69960*(584/2331)""""""","""""""GID457""","""GID6914""""""",PA5299,,,,"COG0427|Acetyl-CoA hydrolase [Energy production and conversion]"
ExMr_nr_mas_01_1,F6,16,11,11,4,22,22,,4891,6368316,670,Y,PA14_71470,GID1254,30,1251,PA5416,soxB,"sarcosine oxidase beta subunit","""beta subunit""""""",PA14_71470(30/1251),GID1254,PA5416,,,,,"COG1053|Succinate dehydrogenase/fumarate reductase, flavoprotein subunit [Energy production and conversion]"
ExMr_nr_mas_01_1,F7,16,11,13,4,22,26,,4916,4293941,779,Y,PA14_48230,GID5647,83,102,,,"hypothetical protein","""""""PA14_48230(83/102)""","""PA14_48220*(950/1620)""""""","""""""GID5647""","""GID5648""""""",,,,,
ExMr_nr_mas_01_1,F8,16,11,15,4,22,30,,4919,2671418,541,Y,PA14_30800,GID3885,70,603,PA2575,,"hypothetical protein","""""""PA14_30800(70/603)""","""PA14_30780*(1515/1653)""""""","""""""GID3885""","""GID6105""""""",PA2575,,,,"COG0778|Nitroreductase [Energy production and conversion]"
ExMr_nr_mas_01_1,F9,16,11,17,4,22,34,,4947,4825312,385,Y,PA14_54410,GID2295,136,951,PA0764,mucB,"negative regulator for alginate biosynthesis MucB",PA14_54410(136/951),GID2295,PA0764,"This mutant was originally assigned to well F10.",,,,,"COG3026|Negative regulator of sigma E activity [Signal transduction mechanisms]"
ExMr_nr_mas_01_1,F10,16,11,19,4,22,38,,4935,5277685,464,Y,PA14_59240,GID1657,243,1125,,pilL2,"type IV B pilus protein",PA14_59240(243/1125),GID1657,,"This mutant was originally assigned to well F9",,,,,
ExMr_nr_mas_01_1,F11,16,11,21,4,22,42,,4972,5759930,278,Y,PA14_64670,GID3845,128,615,PA4893,ureG,"urease accessory protein UreG",PA14_64670(128/615),GID3845,PA4893,,,,,,"COG4240|Predicted kinase [General function prediction only]"
ExMr_nr_mas_01_1,F12,16,11,23,4,22,46,,4988,1554388,188,Y,PA14_18110,GID2222,10,924,PA3571,mmsR,"transcriptional regulator MmsR",PA14_18110(10/924),GID2222,PA3571,,,,,,"COG2169|Adenosine deaminase [Nucleotide transport and metabolism]"
ExMr_nr_mas_01_1,G1,16,13,1,4,26,2,,5063,4694527,1154,Y,PA14_52940,GID257,1123,2196,PA0875,,"hypothetical protein","""""""PA14_52940(1123/2196)""","""PA14_52950*(746/1959)""""""","""""""GID257""","""GID5561""""""",PA0875,,,,"COG1289|Predicted membrane protein [Function unknown]"
ExMr_nr_mas_01_1,G2,16,13,3,4,26,6,,5068,5441083,256,Y,PA14_60990,GID1130,21,1362,PA4609,radA,"DNA repair protein RadA","""""""PA14_60990(21/1362)""","""PA14_60980*(430/1797)""""""","""""""GID1130""","""GID6716""""""",PA4609,,,,"COG0466|ATP-dependent Lon protease, bacterial type [Posttranslational modification, protein turnover, chaperones]"
ExMr_nr_mas_01_1,G3,16,13,5,4,26,10,,5084,3766287,1160,Y,PA14_42230,GID226,18,2295,PA1726,bglX,beta-glucosidase,PA14_42230(18/2295),GID226,PA1726,,,,,,"COG1472|Beta-glucosidase-related glycosidases [Carbohydrate transport and metabolism]"
ExMr_nr_mas_01_1,G4,16,13,7,4,26,14,,5107,1959306,83.8,Y,PA14_22510,GID5488,28,393,,,"hypothetical protein",PA14_22510(28/393),GID5488,,,,,,,"COG0509|Glycine cleavage system H protein (lipoate-binding) [Amino acid transport and metabolism]"
ExMr_nr_mas_01_1,G5,16,13,9,4,26,18,,5114,5972980,280,Y,EMPTY,,,,,,,"""""""PA14_66870*(92/504)""","""PA14_66860*(1474/1629)""""""","""""""GID6843""","""GID6844""""""",,,,,
ExMr_nr_mas_01_1,G6,16,13,11,4,26,22,,5126,2786482,490,Y,PA14_31990,GID964,1103,1455,PA2521,czcB,"cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB famil","membrane fusion protein","""CzcB famil""""""","""""""PA14_31990(1103/1455)""","""PA14_31980*(389/1686)""""""","""""""GID964""","""GID6043""""""",PA2521,,"COG1566|Multidrug resistance efflux pump [Defense mechanisms]"
ExMr_nr_mas_01_1,G7,16,13,13,4,26,26,,5142,4875224,918,Y,PA14_54930,GID5516,214,3342,,,"non-ribosomal peptide synthetase",PA14_54930(214/3342),GID5516,,,,,,,"COG1022|Long-chain acyl-CoA synthetases (AMP-forming) [Lipid metabolism]"
ExMr_nr_mas_01_1,G8,16,13,15,4,26,30,,5156,400261,856,Y,PA14_04490,GID2848,263,798,PA0343,,"hypothetical protein",PA14_04490(263/798),GID2848,PA0343,,,,,,
ExMr_nr_mas_01_1,G9,16,13,17,4,26,34,,5164,1545526,1025,Y,PA14_17990,GID4534,58,471,PA3580,,"hypothetical protein",PA14_17990(58/471),GID4534,PA3580,,,,,,"COG2606|Uncharacterized conserved protein [Function unknown]"
ExMr_nr_mas_01_1,G10,16,13,19,4,26,38,,5172,4559296,829,Y,PA14_51310,GID5293,30,252,PA1006,,"hypothetical protein",PA14_51310(30/252),GID5293,PA1006,,,,,,"COG0425|Predicted redox protein, regulator of disulfide bond formation [Posttranslational modification, protein turnover, chaperones]"
ExMr_nr_mas_01_1,G11,16,13,21,4,26,42,,5174,4639146,196,Y,PA14_52270,GID2139,562,990,PA0927,ldhA,"D-lactate dehydrogenase",PA14_52270(562/990),GID2139,PA0927,,,,,,"COG0111|Phosphoglycerate dehydrogenase and related dehydrogenases [Amino acid transport and metabolism]"
ExMr_nr_mas_01_1,G12,16,13,23,4,26,46,,5176,3738460,735,Y,PA14_41840,GID2809,283,804,PA1756,cysH,"phosphoadenosine phosphosulfate reductase",PA14_41840(283/804),GID2809,PA1756,,,,,,"COG0175|3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes [Amino acid transport and metabolism / Coenzyme metabolism]"
ExMr_nr_mas_01_1,H1,16,15,1,4,30,2,,5177,4794404,450,Y,PA14_54070,GID5538,91,210,,,"hypothetical protein","""""""PA14_54070(91/210)""","""PA14_54060*(165/3831)""""""","""""""GID5538""","""GID5539""""""",,,,,
ExMr_nr_mas_01_1,H2,16,15,3,4,30,6,,5205,2978663,414,Y,PA14_33650,GID2,15,7347,PA2399,pvdD,"pyoverdine synthetase D",PA14_33650(15/7347),GID2,PA2399,,,,,,"COG1022|Long-chain acyl-CoA synthetases (AMP-forming) [Lipid metabolism]"
ExMr_nr_mas_01_1,H3,16,15,5,4,30,10,,5210,2143951,1263,Y,PA14_24530,GID2121,170,990,PA3060,pelE,"hypothetical protein","""""""PA14_24530(170/990)""","""PA14_24520*(782/969)""""""","""""""GID2121""","""GID6245""""""",PA3060,,,,
